Tytu³:;Bezpoœrednio! Mieszkanie 3 pokojowe + gara¿, Ursus
Cena:;615 000 z³
Cena za metr kwadratowy:;9 691 z³/m
Powierzchnia:;63,46 m
Liczba pokoi:;3
Rynek:;wtórny
Rodzaj zabudowy:;blok
Piêtro:;4
Liczba piêter:;5
Materia³ budynku:;¿elbet
Okna:;plastikowe
Ogrzewanie:;kot³ownia
Rok budowy:;2014
Stan wykoñczenia:;do zamieszkania
Czynsz:;662 z³
Forma w³asnoœci:;pe³na w³asnoœæ
Informacje dodatkowe:;drzwi / okna antyw³amaniowe;teren zamkniêty;domofon / wideofon;monitoring / ochrona;zmywarka;lodówka;meble;piekarnik;kuchenka;pralka;balkon;gara¿/miejsce parkingowe;winda;oddzielna kuchnia
