Powierzchnia:;111,07 m
Liczba pokoi:;3
Rynek:;pierwotny
Rodzaj zabudowy:;szeregowiec
Piêtro:;1
Materia³ budynku:;beton komórkowy
Okna:;plastikowe
Ogrzewanie:;gazowe
Rok budowy:;2020
Stan wykoñczenia:;do wykoñczenia
Forma w³asnoœci:;pe³na w³asnoœæ
