Tytu³:;Przestrzenne 4 pok. z panorama na miasto
Cena:;1 919 000 z³
Cena za metr kwadratowy:;13 697 z³/m
Powierzchnia:;140,10 m
Obs³uga zdalna:;Tak
Liczba pokoi:;4
Rynek:;wtórny
Rodzaj zabudowy:;blok
Piêtro:;8
Liczba piêter:;10
Materia³ budynku:;ceg³a
Okna:;drewniane
Ogrzewanie:;miejskie
Rok budowy:;2009
Stan wykoñczenia:;do zamieszkania
Czynsz:;1 190 z³
Forma w³asnoœci:;pe³na w³asnoœæ
Informacje dodatkowe:;telewizja kablowa;internet;telefon;drzwi / okna antyw³amaniowe;teren zamkniêty;domofon / wideofon;monitoring / ochrona;zmywarka;meble;piekarnik;kuchenka;klimatyzacja;balkon;gara¿/miejsce parkingowe;winda
