Tytu³:;2 pokoje, gara¿, ochrona. metro
Cena:;787 000 z³
Cena za metr kwadratowy:;13 430 z³/m
Powierzchnia:;58,60 m
Obs³uga zdalna:;Tak
Liczba pokoi:;2
Rynek:;wtórny
Rodzaj zabudowy:;apartamentowiec
Piêtro:;7
Liczba piêter:;10
Materia³ budynku:;inne
Okna:;plastikowe
Ogrzewanie:;miejskie
Rok budowy:;2001
Stan wykoñczenia:;do zamieszkania
Czynsz:;710 z³
Forma w³asnoœci:;pe³na w³asnoœæ
Informacje dodatkowe:;drzwi / okna antyw³amaniowe;domofon / wideofon;monitoring / ochrona;zmywarka;meble;piekarnik;kuchenka;gara¿/miejsce parkingowe;winda
