Tytu³:;do remontu 62 mkw |kamienica ul. WILCZA 2/3 pokoje
Cena:;1 109 000 z³
Cena za metr kwadratowy:;17 887 z³/m
Powierzchnia:;62 m
Liczba pokoi:;2
Rynek:;wtórny
Rodzaj zabudowy:;kamienica
Piêtro:;3
Liczba piêter:;3
Materia³ budynku:;ceg³a
Okna:;drewniane
Ogrzewanie:;miejskie
Rok budowy:;1927
Stan wykoñczenia:;do remontu
Czynsz:;850 z³
Forma w³asnoœci:;pe³na w³asnoœæ
Informacje dodatkowe:;telewizja kablowa;internet;drzwi / okna antyw³amaniowe;teren zamkniêty;domofon / wideofon;monitoring / ochrona;piwnica;oddzielna kuchnia
