Tytu³:;Super okazja! Dobra inwestycja! Mieszkanie 2pokoje
Cena:;215 000 z³
Cena za metr kwadratowy:;5 890 z³/m
Powierzchnia:;36,50 m
Liczba pokoi:;2
Rynek:;wtórny
Rodzaj zabudowy:;blok
Piêtro:;1
Liczba piêter:;4
Materia³ budynku:;wielka p³yta
Okna:;plastikowe
Ogrzewanie:;miejskie
Stan wykoñczenia:;do wykoñczenia
Czynsz:;255 z³
Forma w³asnoœci:;pe³na w³asnoœæ
Informacje dodatkowe:;telewizja kablowa;internet;drzwi / okna antyw³amaniowe;domofon / wideofon;meble;piekarnik;kuchenka;pralka;balkon;piwnica;oddzielna kuchnia
