Tytu³:;Bezpoœrednio-jasne,ustawne mieszkanie dla rodziny
Cena:;599 000 z³
Cena za metr kwadratowy:;8 681 z³/m
Powierzchnia:;69 m
Liczba pokoi:;3
Rynek:;wtórny
Rodzaj zabudowy:;blok
Piêtro:;1
Liczba piêter:;2
Materia³ budynku:;ceg³a
Okna:;drewniane
Ogrzewanie:;gazowe
Rok budowy:;2011
Stan wykoñczenia:;do zamieszkania
Forma w³asnoœci:;pe³na w³asnoœæ
Informacje dodatkowe:;telewizja kablowa;internet;drzwi / okna antyw³amaniowe;teren zamkniêty;domofon / wideofon;zmywarka;lodówka;meble;piekarnik;kuchenka;pralka;balkon;gara¿/miejsce parkingowe
